"code","Name","Reference.Area.Type..for.UNSD.use.only.","required","GeoAreaName"
608,"Philippines","1.0-Global","R","Philippines"
612,"Pitcairn","1.0-Global","R","Pitcairn"
616,"Poland","1.0-Global","R","Poland"
620,"Portugal","1.0-Global","R","Portugal"
630,"Puerto Rico","1.0-Global","R","Puerto Rico"
634,"Qatar","1.0-Global","R","Qatar"
410,"Republic of Korea","1.0-Global","R","Republic of Korea"
498,"Republic of Moldova","1.0-Global","R","Republic of Moldova"
638,"Réunion","1.0-Global","R","Réunion"
642,"Romania","1.0-Global","R","Romania"
643,"Russian Federation","1.0-Global","R","Russian Federation"
646,"Rwanda","1.0-Global","R","Rwanda"
652,"Saint Barthélemy","1.0-Global","R","Saint Barthélemy"
654,"Saint Helena","1.0-Global","R","Saint Helena"
659,"Saint Kitts and Nevis","1.0-Global","R","Saint Kitts and Nevis"
662,"Saint Lucia","1.0-Global","R","Saint Lucia"
663,"Saint Martin (French Part)","1.0-Global","R","Saint Martin (French Part)"
666,"Saint Pierre and Miquelon","1.0-Global","R","Saint Pierre and Miquelon"
670,"Saint Vincent and the Grenadines","1.0-Global","R","Saint Vincent and the Grenadines"
882,"Samoa","1.0-Global","R","Samoa"
674,"San Marino","1.0-Global","R","San Marino"
678,"Sao Tome and Principe","1.0-Global","R","Sao Tome and Principe"
682,"Saudi Arabia","1.0-Global","R","Saudi Arabia"
686,"Senegal","1.0-Global","R","Senegal"
688,"Serbia","1.0-Global","R","Serbia"
690,"Seychelles","1.0-Global","R","Seychelles"
694,"Sierra Leone","1.0-Global","R","Sierra Leone"
702,"Singapore","1.0-Global","R","Singapore"
534,"Sint Maarten (Dutch part)","1.0-Global","R","Sint Maarten (Dutch part)"
703,"Slovakia","1.0-Global","R","Slovakia"
705,"Slovenia","1.0-Global","R","Slovenia"
90,"Solomon Islands","1.0-Global","R","Solomon Islands"
706,"Somalia","1.0-Global","R","Somalia"
710,"South Africa","1.0-Global","R","South Africa"
239,"South Georgia and the South Sandwich Islands","1.0-Global","R","South Georgia and the South Sandwich Islands"
